	class_count	expression_avg	happy_avg	stu_count	tea_id	tags
613	9	195.6666667	0.215375701	4	7762863	[]
614	15	239.9333333	0.040672626	10	28213916	[]
615	7	168.5714286	0.042530531	5	25616398	[]
616	9	286.1111111	0.084951053	4	20962988	[]
617	6	181	0.127121629	5	35700714	[]
619	9	333.1111111	0.075583176	4	17641425	[]
620	26	363.1923077	0.094402067	10	30718474	[]
623	7	310.7142857	0.05499519	4	29908350	[]
624	20	138.35	0.083198617	5	28273085	[]
625	17	209.3529412	0.124979661	9	31929418	[]
626	9	239.2222222	0.054919505	6	13354191	[]
628	9	278	0.034534058	7	14367981	[]
629	14	221.7142857	0.083456911	12	34754774	[]
631	10	196.5	0.033061659	5	26777743	[]
634	13	277.4615385	0.070090175	10	14063171	[]
636	17	191.4117647	0.037397018	7	36464907	[]
639	23	405.5652174	0.059533909	6	37036115	[]
645	8	383.375	0.030547699	6	13375246	[]
652	10	288.1	0.069343963	6	6441216	[]
653	18	360.7222222	0.033209489	6	34562820	[]
654	8	158	0.089309586	5	36816539	[]
658	28	249.6785714	0.096531089	13	31612692	[]
659	7	182.1428571	0.054697753	5	35475147	[]
660	12	332.6666667	0.074370216	11	35546113	[]
661	9	297.7777778	0.095998452	6	29920419	[]
662	18	330.3333333	0.007520613	4	19846508	['enhance_happyness']
663	18	242.1111111	0.061668775	5	7601028	[]
664	8	189	0.089987875	5	29655621	[]
667	13	352.9230769	0.058553482	8	23356577	[]
668	21	352.3333333	0.13287295	5	13736558	[]
671	14	298.6428571	0.07337769	8	12197898	[]
672	26	246.8076923	0.083478438	12	29873984	[]
673	15	280.6666667	0.05189262	13	35550687	[]
674	14	204.0714286	0.102069372	7	35144915	[]
675	11	242.9090909	0.154738013	5	23696867	[]
677	17	159	0.08308465	5	11360256	[]
678	26	216.5	0.058865997	9	29927922	[]
679	19	358.8947368	0.10441318	11	34939377	[]
681	19	311.9473684	0.121352966	11	36366753	[]
682	15	243.4	0.063718215	11	16066749	[]
683	10	290.5	0.071837525	10	34329373	[]
684	6	204.3333333	0.047952742	5	38001546	[]
685	9	259.7777778	0.052866715	5	8570274	[]
688	8	299.625	0.062995926	4	27665903	[]
690	19	398.7894737	0.143751587	5	37181993	[]
691	7	205	0.081355131	5	8339772	[]
693	9	302.5555556	0.116002664	4	35170524	[]
695	7	143.1428571	0.0946134	4	9851301	[]
697	38	263.2105263	0.061593008	7	3849841	[]
698	7	214.2857143	0.132745626	6	32166194	[]
700	10	195.7	0.104790398	7	32482447	[]
701	13	300.0769231	0.103529659	8	14566409	[]
704	24	269.125	0.067107422	12	6576110	[]
705	13	256.4615385	0.062651497	5	16665096	[]
707	24	250.875	0.083282981	19	35818933	[]
711	6	344.6666667	0.061899834	4	14894331	[]
712	27	194.7777778	0.108823177	10	35925205	[]
715	17	226.8235294	0.084822591	10	24756729	[]
